ridge,compression,prior_regression,mae,accuracy,brier,classic_accuracy
14.0,20.0,0.8,14.439042602829126,0.6686877453272452,0.20336143021064812,
20.0,14.0,0.6,14.447294317421001,0.6731513322127862,0.2032556925156732,
45.0,28.0,0.3,14.456037764184268,0.6717210412327264,0.20388594505185753,
45.0,40.0,0.15,14.458038580970866,0.6735255541056507,0.2043142023563397,
20.0,14.0,0.3,14.518469306262556,0.6830705279889802,0.20405979042847552,
9.0,14.0,0.8,14.551789046249164,0.6674359099132786,0.20399199613908336,
45.0,28.0,0.45,14.56877629145934,0.6697142227935005,0.20494326494918938,
30.0,20.0,0.15,14.573496051483318,0.6755613331166267,0.20556668352847904,
20.0,28.0,0.8,14.575427846212218,0.6584566589583986,0.20524082859450987,
30.0,20.0,0.6,14.594084668721234,0.6615163326776387,0.20565957125507825,
20.0,14.0,0.15,14.598634682220966,0.6774860463630274,0.20538045348196418,
45.0,28.0,0.15,14.651091328954044,0.6669099152517588,0.20736408700867634,
30.0,1000000.0,0.8,14.697480767576014,0.6470591011456532,0.2069355750651535,
45.0,20.0,0.45,14.718843601305014,0.6668018650066848,0.20742253013872047,
30.0,14.0,0.45,14.737302476965414,0.6678430462119358,0.20816428129596112,
45.0,20.0,0.3,14.741471621234336,0.6696511321441896,0.20828925155913766,
30.0,40.0,0.8,14.743670461333133,0.647323175876586,0.2082342233739064,
45.0,1000000.0,0.6,14.75755975779821,0.6415830179572833,0.2082668130476443,
45.0,40.0,0.6,14.770298765447508,0.6525339883982497,0.2084452971768795,
30.0,14.0,0.3,14.809386187593637,0.6688360149461835,0.20909844311675765,
30.0,14.0,0.6,14.820924349006031,0.6565283286272754,0.20860108736022773,
14.0,14.0,0.8,14.830388593076915,0.6551580328667159,0.20773241039350412,
20.0,20.0,0.8,14.853612978422047,0.6517397122064207,0.20882864407446333,
45.0,28.0,0.6,14.89634572788521,0.6490619307486363,0.21021705481790068,
45.0,20.0,0.6,14.922889829676171,0.652450738915222,0.21044650539888896,
45.0,20.0,0.15,14.92356240390728,0.6609105963825563,0.2115809402695241,
30.0,14.0,0.15,14.941253732084268,0.6647754052515775,0.21130559660563486,
30.0,28.0,0.8,15.031074208587826,0.633615860018383,0.21248560203450204,
45.0,14.0,0.45,15.041966047757352,0.6578650088427174,0.2130286508664067,
20.0,14.0,0.8,15.059517719640835,0.6471129194708827,0.21043444455706997,
30.0,20.0,0.8,15.115491100150663,0.6354726772729568,0.2137812773597687,
45.0,14.0,0.6,15.123630226637777,0.6463245627540389,0.2133109450152576,
45.0,14.0,0.3,15.135008000938328,0.6612773760019687,0.21432944369954454,
45.0,40.0,0.8,15.17037565722847,0.617485000686764,0.21508279227357188,
45.0,1000000.0,0.8,15.215204792314351,0.6134240014557869,0.21582485644369861,
45.0,14.0,0.15,15.27251939501631,0.6535010939261057,0.21696101258649278,
30.0,14.0,0.8,15.285814616736817,0.6436308304070222,0.2142726359248457,
45.0,28.0,0.8,15.477389902274892,0.6143144616737748,0.21896658474854475,
45.0,20.0,0.8,15.484354252157969,0.6193543176386437,0.21898791330669296,
45.0,14.0,0.8,15.570513871066163,0.62807851335389,0.21983775056663282,
